graph_id,label,oracle,ood_score
1851,0,0.13718600571155548,3.8866848945617676
1852,0,0.0,3.917065143585205
1853,0,1.0676406621932983,3.9120118618011475
1854,0,0.5509248971939087,3.8560853004455566
1855,0,0.0,3.8989925384521484
1856,0,0.6702890992164612,3.9079973697662354
1857,0,0.7836275100708008,3.8775010108947754
1858,0,1.8390398025512695,3.872816562652588
1859,0,1.3551433086395264,3.891327381134033
1860,0,1.7957698106765747,3.8788609504699707
1861,0,0.4994833767414093,3.928316116333008
1862,0,0.6104008555412292,3.8932456970214844
1863,0,0.04285429045557976,3.88338041305542
1864,0,1.3346463441848755,3.8753695487976074
1865,0,0.7398656606674194,3.8749477863311768
1866,0,0.3119643032550812,3.8832051753997803
1867,1,2.08172345161438,3.857996940612793
1868,0,0.6111924648284912,3.8900394439697266
1869,0,1.3185784816741943,3.847817897796631
1870,1,1.9768218994140625,3.904940128326416
1871,0,0.0,3.960111618041992
1872,1,2.26653790473938,3.9467127323150635
1873,0,0.0,3.8795671463012695
1874,0,0.35162779688835144,3.9313313961029053
1875,0,0.5931442975997925,3.8659756183624268
1876,0,0.4483611583709717,3.9128127098083496
1877,0,1.532224178314209,3.9055933952331543
1878,1,2.529208183288574,3.964839220046997
1879,1,2.316390037536621,3.860283374786377
1880,0,1.3911296129226685,3.7997405529022217
1881,0,0.9711405038833618,3.9087753295898438
1882,0,1.720975399017334,3.842090129852295
1883,0,1.2462490797042847,3.8960909843444824
1884,0,0.0,3.8830835819244385
1885,0,1.5950679779052734,3.925863265991211
1886,0,1.7153968811035156,3.820906162261963
1887,0,1.492141604423523,3.8987877368927
1888,1,2.1279783248901367,3.8437020778656006
1889,0,0.7305050492286682,3.8755550384521484
1890,0,0.30990174412727356,3.886678695678711
1891,0,0.899471640586853,3.897366762161255
1892,0,1.3443059921264648,3.891780138015747
1893,0,0.5267089605331421,3.836561441421509
1894,0,0.7141834497451782,3.905320167541504
1895,1,2.3784735202789307,3.8962440490722656
1896,0,0.0,3.8783907890319824
1897,1,2.9194867610931396,3.8237791061401367
1898,1,2.193925619125366,3.8857264518737793
1899,0,1.1129556894302368,3.89558482170105
1900,0,1.855250358581543,3.9047036170959473
